Mandante,Placar,Visitante,Ano
Goiás,1–0,AMM,2023
Goiás,1–1,ATP,2023
Goiás,0–0,ATM,2023
Goiás,4–6,BAH,2023
Goiás,2–1,BOT,2023
Goiás,3–1,COR,2023
Goiás,1–2,CTB,2023
Goiás,0–1,CRU,2023
Goiás,0–1,CUI,2023
Goiás,0–0,FLA,2023
Goiás,2–2,FLU,2023
Goiás,1–0,FOR,2023
Goiás,1–1,GRE,2023
Goiás,0–0,INT,2023
Goiás,0–5,PAL,2023
Goiás,0–2,RBB,2023
Goiás,0–1,SAN,2023
Goiás,2–0,SPA,2023
Goiás,1–1,VAS,2023
Grêmio,3–1,AMM,2023
Grêmio,1–2,ATP,2023
Grêmio,1–0,ATM,2023
Grêmio,1–0,BAH,2023
Grêmio,0–2,BOT,2023
Grêmio,0–1,COR,2023
Grêmio,5–1,CTB,2023
Grêmio,3–0,CRU,2023
Grêmio,2–0,CUI,2023
Grêmio,3–2,FLA,2023
Grêmio,2–1,FLU,2023
Grêmio,0–0,FOR,2023
Grêmio,2–1,GOI,2023
Grêmio,3–1,INT,2023
Grêmio,1–0,PAL,2023
Grêmio,3–3,RBB,2023
Grêmio,1–0,SAN,2023
Grêmio,2–1,SPA,2023
Grêmio,1–0,VAS,2023
Internacional,1–1,AMM,2023
Internacional,0–2,ATP,2023
Internacional,0–2,ATM,2023
Internacional,2–0,BAH,2023
Internacional,3–1,BOT,2023
Internacional,2–2,COR,2023
Internacional,3–4,CTB,2023
Internacional,0–0,CRU,2023
Internacional,1–2,CUI,2023
Internacional,2–1,FLA,2023
Internacional,0–0,FLU,2023
Internacional,0–1,FOR,2023
Internacional,1–0,GOI,2023
Internacional,3–2,GRE,2023
Internacional,0–0,PAL,2023
Internacional,1–0,RBB,2023
Internacional,7–1,SAN,2023
Internacional,2–1,SPA,2023
Internacional,2–1,VAS,2023
Palmeiras,4–0,AMM,2023
Palmeiras,1–0,ATP,2023
Palmeiras,0–2,ATM,2023
Palmeiras,1–0,BAH,2023
Palmeiras,0–1,BOT,2023
Palmeiras,2–1,COR,2023
Palmeiras,3–1,CTB,2023
Palmeiras,1–0,CRU,2023
Palmeiras,2–1,CUI,2023
Palmeiras,1–1,FLA,2023
Palmeiras,1–0,FLU,2023
Palmeiras,3–1,FOR,2023
Palmeiras,1–0,GOI,2023
Palmeiras,4–1,GRE,2023
Palmeiras,3–0,INT,2023
Palmeiras,1–1,RBB,2023
Palmeiras,1–2,SAN,2023
Palmeiras,5–0,SPA,2023
Palmeiras,1–0,VAS,2023
Red Bull Bragantino,2–2,AMM,2023
Red Bull Bragantino,2–0,ATP,2023
Red Bull Bragantino,1–2,ATM,2023
Red Bull Bragantino,2–1,BAH,2023
Red Bull Bragantino,2–2,BOT,2023
Red Bull Bragantino,1–0,COR,2023
