Mandante,Placar,Visitante,Ano
Atlético Mineiro,1–1,SAN,2025
Atlético Mineiro,0–0,SPA,2025
Atlético Mineiro,3–1,SPT,2025
Atlético Mineiro,5–0,VAS,2025
Atlético Mineiro,2–2,VIT,2025
Bahia,2–1,ATM,2025
Bahia,1–0,BOT,2025
Bahia,1–0,CEA,2025
Bahia,1–1,COR,2025
Bahia,1–2,CRU,2025
Bahia,1–0,FLA,2025
Bahia,3–3,FLU,2025
Bahia,2–3,FOR,2025
Bahia,4–0,GRE,2025
Bahia,1–0,INT,2025
Bahia,3–0,JUV,2025
Bahia,1–1,MIR,2025
Bahia,1–0,PAL,2025
Bahia,2–1,RBB,2025
Bahia,2–0,SAN,2025
Bahia,2–1,SPA,2025
Bahia,2–0,SPT,2025
Bahia,1–0,VAS,2025
Bahia,2–1,VIT,2025
Botafogo,1–0,ATM,2025
Botafogo,2–1,BAH,2025
Botafogo,3–2,CEA,2025
Botafogo,1–1,COR,2025
Botafogo,0–2,CRU,2025
Botafogo,0–3,FLA,2025
Botafogo,2–0,FLU,2025
Botafogo,4–2,FOR,2025
Botafogo,3–2,GRE,2025
Botafogo,4–0,INT,2025
Botafogo,2–0,JUV,2025
Botafogo,3–3,MIR,2025
Botafogo,0–1,PAL,2025
Botafogo,4–1,RBB,2025
Botafogo,2–2,SAN,2025
Botafogo,2–2,SPA,2025
Botafogo,3–2,SPT,2025
Botafogo,3–0,VAS,2025
Botafogo,0–0,VIT,2025
Ceará,0–1,ATM,2025
Ceará,1–1,BAH,2025
Ceará,0–2,BOT,2025
Ceará,0–1,COR,2025
Ceará,1–1,CRU,2025
Ceará,1–1,FLA,2025
Ceará,2–0,FLU,2025
Ceará,1–1,FOR,2025
Ceará,2–0,GRE,2025
Ceará,1–2,INT,2025
Ceará,0–1,JUV,2025
Ceará,0–2,MIR,2025
Ceará,1–3,PAL,2025
Ceará,1–0,RBB,2025
Ceará,3–0,SAN,2025
Ceará,1–1,SPA,2025
Ceará,2–0,SPT,2025
Ceará,2–1,VAS,2025
Ceará,1–0,VIT,2025
Corinthians,1–0,ATM,2025
Corinthians,1–2,BAH,2025
Corinthians,2–2,BOT,2025
Corinthians,0–1,CEA,2025
Corinthians,0–0,CRU,2025
Corinthians,1–2,FLA,2025
Corinthians,0–2,FLU,2025
Corinthians,1–1,FOR,2025
Corinthians,2–0,GRE,2025
Corinthians,4–2,INT,2025
Corinthians,1–1,JUV,2025
Corinthians,3–0,MIR,2025
Corinthians,1–1,PAL,2025
Corinthians,1–2,RBB,2025
Corinthians,1–0,SAN,2025
Corinthians,3–1,SPA,2025
Corinthians,2–1,SPT,2025
Corinthians,3–0,VAS,2025
Corinthians,0–0,VIT,2025
Cruzeiro,0–0,ATM,2025
Cruzeiro,3–0,BAH,2025
Cruzeiro,2–2,BOT,2025
Cruzeiro,1–2,CEA,2025
Cruzeiro,3–0,COR,2025
Cruzeiro,2–1,FLA,2025
Cruzeiro,0–0,FLU,2025
Cruzeiro,1–0,FOR,2025
Cruzeiro,4–1,GRE,2025
Cruzeiro,2–1,INT,2025
Cruzeiro,4–0,JUV,2025
Cruzeiro,2–1,MIR,2025
Cruzeiro,2–1,PAL,2025
Cruzeiro,2–1,RBB,2025
Cruzeiro,1–2,SAN,2025
Cruzeiro,1–0,SPA,2025
Cruzeiro,1–1,SPT,2025
Cruzeiro,1–0,VAS,2025
Cruzeiro,3–1,VIT,2025
Flamengo,1–0,ATM,2025
Flamengo,1–0,BAH,2025
Flamengo,0–0,BOT,2025
Flamengo,1–0,CEA,2025
Flamengo,4–0,COR,2025
Flamengo,0–0,CRU,2025
Flamengo,1–0,FLU,2025
Flamengo,5–0,FOR,2025
Flamengo,1–1,GRE,2025
Flamengo,1–1,INT,2025
Flamengo,6–0,JUV,2025
Flamengo,2–1,MIR,2025
Flamengo,3–2,PAL,2025
Flamengo,3–0,RBB,2025
Flamengo,3–2,SAN,2025
Flamengo,2–0,SPA,2025
Flamengo,3–0,SPT,2025
Flamengo,1–1,VAS,2025
Flamengo,8–0,VIT,2025
Fluminense,3–0,ATM,2025
Fluminense,2–0,BAH,2025
Fluminense,2–0,BOT,2025
Fluminense,1–0,CEA,2025
Fluminense,0–1,COR,2025
Fluminense,0–2,CRU,2025
Fluminense,2–1,FLA,2025
Fluminense,2–1,FOR,2025
Fluminense,1–0,GRE,2025
Fluminense,1–0,INT,2025
Fluminense,1–0,JUV,2025
Fluminense,1–0,MIR,2025
Fluminense,1–2,PAL,2025
Fluminense,2–1,RBB,2025
Fluminense,1–0,SAN,2025
Fluminense,6–0,SPA,2025
Fluminense,2–1,SPT,2025
Fluminense,2–1,VAS,2025
Fluminense,1–1,VIT,2025
Fortaleza,1–0,ATM,2025
Fortaleza,1–1,BAH,2025
Fortaleza,0–5,BOT,2025
Fortaleza,0–1,CEA,2025
Fortaleza,2–1,COR,2025
Fortaleza,0–2,CRU,2025
Fortaleza,1–0,FLA,2025
Fortaleza,2–0,FLU,2025
Fortaleza,2–2,GRE,2025
Fortaleza,0–0,INT,2025
Fortaleza,5–0,JUV,2025
Fortaleza,0–1,MIR,2025
Fortaleza,1–2,PAL,2025
Fortaleza,3–1,RBB,2025
Fortaleza,2–3,SAN,2025
Fortaleza,0–2,SPA,2025
Fortaleza,1–0,SPT,2025
Fortaleza,0–2,VAS,2025
Fortaleza,2–0,VIT,2025
Grêmio,2–1,ATM,2025
Grêmio,1–0,BAH,2025
Grêmio,1–1,BOT,2025
Grêmio,0–0,CEA,2025
Grêmio,1–1,COR,2025
Grêmio,0–1,CRU,2025
Grêmio,0–2,FLA,2025
Grêmio,1–2,FLU,2025
Grêmio,2–1,FOR,2025
Grêmio,1–1,INT,2025
Grêmio,3–1,JUV,2025
Grêmio,0–1,MIR,2025
Grêmio,3–2,PAL,2025
Grêmio,1–1,RBB,2025
Grêmio,1–0,SAN,2025
Grêmio,2–0,SPA,2025
Grêmio,0–1,SPT,2025
Grêmio,2–0,VAS,2025
Grêmio,3–1,VIT,2025
Internacional,0–0,ATM,2025
Internacional,2–2,BAH,2025
Internacional,2–0,BOT,2025
Internacional,1–0,CEA,2025
Internacional,1–1,COR,2025
Internacional,3–0,CRU,2025
Internacional,1–3,FLA,2025
Internacional,0–2,FLU,2025
Internacional,2–1,FOR,2025
Internacional,2–3,GRE,2025
Internacional,3–1,JUV,2025
Internacional,1–1,MIR,2025
Internacional,0–1,PAL,2025
Internacional,3–1,RBB,2025
Internacional,1–1,SAN,2025
Internacional,1–2,SPA,2025
Internacional,2–0,SPT,2025
Internacional,1–1,VAS,2025
Internacional,1–0,VIT,2025
Juventude,0–1,ATM,2025
Juventude,1–1,BAH,2025
Juventude,1–3,BOT,2025
Juventude,2–1,CEA,2025
Juventude,2–1,COR,2025
Juventude,3–3,CRU,2025
Juventude,0–2,FLA,2025
Juventude,1–1,FLU,2025
Juventude,1–2,FOR,2025
Juventude,0–2,GRE,2025
Juventude,1–1,INT,2025
Juventude,2–2,MIR,2025
Juventude,0–2,PAL,2025
Juventude,1–0,RBB,2025
Juventude,0–3,SAN,2025
Juventude,0–1,SPA,2025
Juventude,2–0,SPT,2025
Juventude,2–0,VAS,2025
Juventude,2–0,VIT,2025
Mirassol,2–2,ATM,2025
Mirassol,5–1,BAH,2025
Mirassol,0–0,BOT,2025
Mirassol,3–0,CEA,2025
Mirassol,2–1,COR,2025
Mirassol,1–1,CRU,2025
Mirassol,3–3,FLA,2025
Mirassol,2–1,FLU,2025
Mirassol,1–1,FOR,2025
Mirassol,4–1,GRE,2025
Mirassol,3–1,INT,2025
Mirassol,2–0,JUV,2025
Mirassol,2–1,PAL,2025
Mirassol,1–1,RBB,2025
Mirassol,3–0,SAN,2025
Mirassol,3–0,SPA,2025
Mirassol,1–0,SPT,2025
Mirassol,3–2,VAS,2025
Mirassol,1–1,VIT,2025
Palmeiras,3–2,ATM,2025
Palmeiras,0–1,BAH,2025
Palmeiras,0–0,BOT,2025
Palmeiras,2–1,CEA,2025
Palmeiras,2–0,COR,2025
Palmeiras,0–0,CRU,2025
Palmeiras,0–2,FLA,2025
Palmeiras,0–0,FLU,2025
Palmeiras,4–1,FOR,2025
Palmeiras,1–0,GRE,2025
Palmeiras,4–1,INT,2025
Palmeiras,4–1,JUV,2025
Palmeiras,1–1,MIR,2025
Palmeiras,5–1,RBB,2025
Palmeiras,2–0,SAN,2025
Palmeiras,1–0,SPA,2025
Palmeiras,3–0,SPT,2025
Palmeiras,3–0,VAS,2025
Palmeiras,0–0,VIT,2025
Red Bull Bragantino,2–0,ATM,2025
Red Bull Bragantino,0–3,BAH,2025
Red Bull Bragantino,1–0,BOT,2025
Red Bull Bragantino,2–2,CEA,2025
Red Bull Bragantino,2–1,COR,2025
Red Bull Bragantino,1–0,CRU,2025
Red Bull Bragantino,1–2,FLA,2025
Red Bull Bragantino,4–2,FLU,2025
Red Bull Bragantino,0–1,FOR,2025
Red Bull Bragantino,1–0,GRE,2025
Red Bull Bragantino,1–3,INT,2025
Red Bull Bragantino,1–0,JUV,2025
Red Bull Bragantino,1–0,MIR,2025
Red Bull Bragantino,1–2,PAL,2025
Red Bull Bragantino,2–2,SAN,2025
Red Bull Bragantino,2–2,SPA,2025
Red Bull Bragantino,1–1,SPT,2025
Red Bull Bragantino,0–3,VAS,2025
Red Bull Bragantino,4–0,VIT,2025
Santos,2–0,ATM,2025
Santos,2–2,BAH,2025
Santos,0–1,BOT,2025
Santos,0–0,CEA,2025
Santos,3–1,COR,2025
Santos,3–0,CRU,2025
Santos,1–0,FLA,2025
Santos,0–0,FLU,2025
Santos,1–1,FOR,2025
Santos,1–1,GRE,2025
Santos,1–2,INT,2025
Santos,3–1,JUV,2025
Santos,1–1,MIR,2025
Santos,1–0,PAL,2025
Santos,1–2,RBB,2025
Santos,1–0,SPA,2025
Santos,3–0,SPT,2025
Santos,0–6,VAS,2025
Santos,0–1,VIT,2025
São Paulo,2–0,ATM,2025
São Paulo,2–0,BAH,2025
São Paulo,1–0,BOT,2025
São Paulo,0–1,CEA,2025
São Paulo,2–0,COR,2025
São Paulo,1–1,CRU,2025
São Paulo,2–2,FLA,2025
São Paulo,3–1,FLU,2025
São Paulo,0–0,FOR,2025
São Paulo,2–1,GRE,2025
São Paulo,3–0,INT,2025
São Paulo,2–1,JUV,2025
São Paulo,0–2,MIR,2025
São Paulo,2–3,PAL,2025
São Paulo,0–1,RBB,2025
São Paulo,2–1,SAN,2025
São Paulo,0–0,SPT,2025
São Paulo,1–3,VAS,2025
São Paulo,2–0,VIT,2025
Sport,2–4,ATM,2025
Sport,0–0,BAH,2025
Sport,0–1,BOT,2025
Sport,1–1,CEA,2025
Sport,1–0,COR,2025
Sport,0–4,CRU,2025
Sport,1–5,FLA,2025
Sport,2–2,FLU,2025
Sport,0–0,FOR,2025
Sport,0–4,GRE,2025
Sport,1–1,INT,2025
Sport,0–2,JUV,2025
Sport,1–2,MIR,2025
Sport,1–2,PAL,2025
Sport,0–1,RBB,2025
Sport,2–2,SAN,2025
Sport,2–2,SPA,2025
Sport,2–3,VAS,2025
Sport,1–3,VIT,2025
Vasco da Gama,1–1,ATM,2025
Vasco da Gama,3–1,BAH,2025
Vasco da Gama,0–2,BOT,2025
Vasco da Gama,2–2,CEA,2025
Vasco da Gama,2–3,COR,2025
Vasco da Gama,2–0,CRU,2025
Vasco da Gama,0–0,FLA,2025
Vasco da Gama,2–0,FLU,2025
Vasco da Gama,3–0,FOR,2025
Vasco da Gama,1–1,GRE,2025
Vasco da Gama,5–1,INT,2025
Vasco da Gama,1–3,JUV,2025
Vasco da Gama,0–2,MIR,2025
Vasco da Gama,0–1,PAL,2025
Vasco da Gama,0–2,RBB,2025
Vasco da Gama,2–1,SAN,2025
Vasco da Gama,0–2,SPA,2025
Vasco da Gama,3–1,SPT,2025
Vasco da Gama,4–3,VIT,2025
Vitória,1–0,ATM,2025
Vitória,2–1,BAH,2025
Vitória,0–0,BOT,2025
Vitória,1–0,CEA,2025
Vitória,0–1,COR,2025
Vitória,0–0,CRU,2025
Vitória,1–2,FLA,2025
Vitória,0–1,FLU,2025
Vitória,2–1,FOR,2025
Vitória,1–1,GRE,2025
Vitória,1–0,INT,2025
Vitória,2–2,JUV,2025
Vitória,2–0,MIR,2025
Vitória,2–2,PAL,2025
Vitória,1–0,RBB,2025
Vitória,0–1,SAN,2025
Vitória,1–0,SPA,2025
Vitória,2–2,SPT,2025
Vitória,2–1,VAS,2025
